	log_likelihood
1105	15193.516
1106	16726.742
1107	16721.893
1108	16654.562
1109	16567.918
1110	16160.006
1111	16679.135
1112	16205.697
1113	16276.88
1114	16482.678
1115	16555.564
1116	15730.237
1117	16347.763
1118	16701.559
1119	15696.036
1120	16657.62
1121	16438.598
1122	15965.369
1123	16426.02
1124	16196.245
1125	16729.244
1126	16552.09
1127	16820.127
1128	15792.742
1129	16279.862
1130	16680.121
1131	16038.818
1132	16169.433
1133	16390.352
1134	16703.266
1135	16382.537
1136	16327.398
1137	16121.162
1138	16337.17
1139	15805.6045
1140	15809.471
1141	16189.425
1142	16052.697
1143	16679.854
1144	15941.248
1145	16420.605
1146	16411.422
1147	16442.58
1148	16659.664
1149	16519.072
1150	16747.535
1151	16714.213
1152	16748.078
1153	16278.435
1154	16340.342
1155	16541.506
1156	15912.981
1157	16622.416
1158	16526.02
1159	16257.216
1160	16370.383
1161	16394.887
1162	16625.887
1163	16467.844
1164	16456.836
1165	16154.231
1166	16542.973
1167	16499.61
1168	16084.753
1169	16321.403
1170	15879.709
1171	15829.264
1172	16623.072
1173	16557.562
1174	16479.777
1175	16093.725
1176	16231.484
1177	16565.693
1178	16300.823
1179	16470.357
1180	16252.891
1181	16621.803
1182	16555.654
1183	16108.842
1184	15884.928
1185	16081.791
1186	16009.917
1187	15540.469
1188	16197.519
1189	16292.909
1190	16170.383
1191	16224.725
1192	16447.242
1193	16321.467
1194	16602.615
1195	15591.894
1196	16537.443
1197	16751.266
1198	16501.027
1199	16586.979
1200	14927.862
1201	16552.84
1202	16050.534
1203	15654.198
1204	16602.727
1205	16648.86
1206	16445.906
1207	16764.074
1208	16107.783
1209	16027.891
1210	16655.582
1211	16030.028
1212	16172.57
1213	16278.072
1214	15552.604
1215	16357.314
1216	15771.146
1217	16450.11
1218	16341.486
1219	16491.828
1220	16660.537
1221	16418.697
1222	16539.703
1223	16693.377
1224	16483.283
1225	16020.823
1226	16320.745
1227	16617.145
1228	16161.072
1229	16229.686
1230	16491.955
1231	16155.375
1232	15833.31
1233	15379.94
1234	16117.58
1235	16528.354
1236	16305.622
1237	16423.164
1238	16459.623
1239	16286.225
1240	16519.973
1241	16519.885
1242	16425.219
1243	16152.428
1244	16208.596
1245	16638.182
1246	16600.66
1247	16501.328
1248	16247.479
1249	15264.917
1250	16447.664
1251	16537.59
1252	16104.078
1253	16209.997
1254	16427.322
1255	16526.508
1256	15998.877
1257	16101.709
1258	16449.098
1259	16681.484
1260	16504.531
1261	16226.521
1262	15806.445
1263	16048.638
1264	16272.55
1265	16240.778
1266	16635.395
1267	15883.003
1268	16662.762
1269	16114.203
1270	16230.917
1271	16117.537
1272	16466.818
1273	15942.867
1274	16292.838
1275	15757.447
1276	16287.703
1277	16679.537
1278	16403.947
1279	16186.939
1280	16124.222
1281	16487.537
1282	16116.644
1283	15853.37
1284	16367.315
1285	16318.947
1286	16188.466
1287	16802.5
1288	15342.354
1289	16565.479
1290	15734.839
1291	15821.198
1292	15358.367
1293	16634.66
1294	15345.177
1295	16294.378
1296	16156.674
1297	16362.2705
1298	16106.799
1299	16384.04
1300	16271.42
1301	16140.519
1302	16526.81
1303	15890.943
1304	15914.136
1305	16127.403
1306	16687.482
1307	16455.926
1308	15660.919
1309	15948.919
1310	15567.172
1311	15957.1875
1312	15657.602
1313	15952.232
1314	15391.958
1315	16451.145
1316	16495.475
1317	16506.66
1318	16205.106
1319	14919.284
1320	16487.688
1321	15874.811
1322	16673.084
1323	16224.984
1324	16265.244
1325	16380.635
1326	15863.875
1327	16331.447
1328	16524.432
1329	16364.025
1330	16142.031
1331	16263.419
1332	16070.674
1333	16023.416
1334	16388.47
1335	15854.1
1336	16177.519
1337	15582.17
1338	16006.529
1339	16260.8955
1340	16338.414
1341	16211.013
1342	16263.872
1343	16522.85
1344	16365.966
1345	15807.234
1346	16089.424
1347	16341.617
1348	16637.23
1349	15628.545
1350	16373.461
1351	16254.678
1352	16384.113
1353	15959.109
1354	15865.365
1355	15479.167
1356	16451.652
1357	15904.372
1358	16425.045
1359	16592.135
1360	16461.482
1361	16629.123
1362	15981.419
1363	16000.721
1364	15691.109
1365	15924.161
1366	16226.239
1367	16083.362
1368	15886.232
1369	15976.232
1370	16088.625
1371	16406.754
1372	16144.177
1373	16539.357
1374	16130.686
1375	15574.963
1376	13675.075
1377	16417.414
1378	15717.383
1379	16670.887
1380	16189.375
1381	16208.003
1382	15470.894
1383	16279.484
1384	16239.565
1385	16686.588
1386	16470.203
1387	16385.697
1388	16368.612
1389	16266.008
1390	16711.5
1391	15585.492
1392	15530.206
1393	16374.701
1394	16289.256
1395	16777.746
1396	16338.344
1397	15720.451
1398	16623.816
1399	16153.83
1400	15951.3545
1401	16531.941
1402	16304.264
1403	16294.911
1404	16011.203
1405	15981.935
1406	16129.575
1407	15917.006
1408	16577.068
1409	16858.117
1410	16065.766
