	z_coordinate_0	z_coordinate_1
728	-4.708191	-3.8490398
729	-4.8742204	-3.7489407
730	-4.171152	-3.3857
731	-1.9628134	-3.8246791
732	-3.674563	-3.2220032
733	-3.6883755	-3.0490048
734	-3.2687407	-3.6406367
735	-4.12356	-3.9521878
736	-3.7820358	-1.8549849
737	-3.363831	-2.2500963
738	-2.6140459	-2.121448
739	-3.4203038	-3.9064596
740	-3.9786673	-2.9996307
741	-4.6133366	-3.5559614
742	-3.0522199	-2.6251385
743	-4.145353	-0.9813287
744	-3.4071355	-2.5566704
745	-3.5209541	-2.5316947
746	-4.1162467	-4.1870723
747	-3.5417247	-2.609886
748	-4.441748	-3.5784214
749	-3.0414977	-2.641157
750	-2.4937215	-1.9940025
751	-5.226514	-2.7208745
752	-4.414035	-3.7860243
753	-5.0129757	-3.2743356
754	-3.4627864	-3.8187358
755	-4.596672	-3.774579
756	-2.9042764	-2.8406456
757	-3.2191644	-3.373325
758	-3.223449	-2.2332985
759	-4.59814	-4.274456
760	-4.920636	-3.5992901
761	-3.094764	-3.5056517
762	-4.922242	-3.3019881
763	-2.914273	-3.4643576
764	-2.8968275	-3.2934978
765	-4.3928356	-3.3816707
766	-4.0943937	-2.6664007
767	-4.039726	-2.5700195
768	-3.2472148	-2.4604428
769	-2.8226967	-2.3682926
770	-2.454159	-2.726271
771	-2.6437044	-3.0987008
772	-3.756239	-2.9237616
773	-3.079578	-3.6804092
774	-3.2923188	-2.5596411
775	-2.7494686	-2.1743214
776	-2.438489	-2.8563387
777	-4.255172	-3.036682
778	-3.202722	-4.006785
779	-3.2819276	-2.1361384
780	-3.315417	-2.1530592
781	-4.5619326	-3.847894
782	-3.6397514	-2.7146592
783	-3.3347318	-1.4242913
784	-4.5299816	-3.3945212
785	-2.8538523	-2.7777438
786	-2.8090484	-2.9065158
787	-3.4788306	-0.6064148
788	-3.1035686	-2.5107348
789	-4.4587297	-3.6997025
790	-3.1362967	-3.8182862
791	-2.6056542	-2.7661874
792	-4.405779	-3.644504
793	-3.344995	-1.1371796
794	-4.9108973	-3.346897
795	-3.2429137	-2.344063
796	-3.8351727	-2.2710435
797	10.427037	16.128979
798	9.201311	15.624391
799	10.9531555	16.47025
800	9.393568	15.553876
801	10.772241	16.288689
802	8.313679	15.048334
803	9.658325	15.945306
804	9.200953	15.957261
805	8.764955	15.828059
806	9.376495	15.682563
807	8.964928	15.746682
808	9.81449	16.196589
809	9.154734	15.720368
810	9.227812	15.661508
811	9.668568	16.00935
812	9.116991	15.781999
813	9.685497	16.136633
814	10.736192	16.37746
815	9.515245	15.729888
816	9.113447	16.477118
817	8.732621	16.299076
818	9.140561	15.241858
819	8.933136	15.649875
820	9.000332	15.771388
821	8.960541	15.082757
822	8.418085	15.931243
823	9.342886	15.582517
824	9.158553	15.700671
825	8.978851	15.811783
826	8.736206	16.116121
827	9.253263	15.101384
828	8.95204	16.501291
829	9.265881	15.298945
830	9.434799	15.628398
831	9.127676	15.82935
832	9.4580765	15.742065
833	9.654022	16.111105
834	9.408707	16.376532
835	9.944124	16.331118
836	10.25626	16.191463
837	9.13434	15.801705
838	8.956191	15.7667055
839	9.516466	16.199802
840	9.180224	16.123497
841	8.351057	15.680474
842	9.267089	15.599807
843	9.079433	15.289603
844	8.636269	16.608627
845	8.682256	16.422976
846	9.08164	16.15509
847	8.989258	15.82953
848	9.451908	16.139019
849	9.387814	15.759234
850	8.825375	15.90435
851	9.350832	15.461047
852	8.908509	16.14431
853	9.912781	16.088316
854	9.594645	14.393065
855	8.681728	16.267378
856	8.463965	15.126262
857	9.1715975	15.765273
858	9.002831	14.864541
859	12.07041	13.025695
860	10.8767	15.837193
861	9.916454	15.868501
862	9.50685	16.089626
863	10.081247	16.28525
864	9.403882	15.832946
865	9.541536	16.021835
866	9.343388	16.103579
867	9.609036	16.332376
868	9.232088	15.732135
869	9.397354	15.552722
870	10.823513	16.363081
871	9.425718	15.399367
872	9.685913	16.300028
873	8.731174	16.262615
874	8.932367	15.52856
875	9.2668	16.066229
876	8.285336	16.070536
877	9.448823	16.16065
878	8.4386635	15.893136
879	9.24774	15.557515
880	9.136211	15.706232
881	9.243141	15.587871
882	8.921429	16.420113
883	10.822474	16.07002
884	8.758668	15.886547
885	8.989834	16.038214
886	9.078051	15.370105
887	9.338532	16.146843
888	8.711955	15.891216
889	9.149515	15.351613
890	9.2233095	16.066078
891	9.250274	15.980528
892	9.200922	15.975879
893	8.710849	15.8013525
894	8.39319	15.922625
895	9.028559	16.165071
896	10.466482	16.326197
897	9.432175	15.7178335
898	9.097446	16.454895
899	8.952669	15.856557
900	9.423298	15.653044
901	9.132383	15.783128
902	9.270903	15.457833
903	8.219963	16.426119
904	10.278999	16.440569
905	9.597134	16.007326
906	9.070989	15.932502
907	10.838497	16.416525
908	8.987267	15.834331
909	9.305683	15.96448
910	8.934803	15.738806
911	9.093608	16.598713
912	9.798147	16.585512
913	9.302082	16.151945
914	9.291706	15.817353
915	10.502649	16.470882
916	9.499958	15.557589
917	9.192547	15.871554
918	8.576947	15.927331
919	9.129023	15.923738
920	9.204695	15.731435
921	9.296175	15.531529
922	8.691565	16.204733
923	9.485505	15.929206
924	9.060083	15.749404
925	9.55151	16.193455
926	10.390716	16.889149
927	10.734449	14.912244
928	9.760349	16.15268
929	9.213433	16.065678
930	9.460734	15.547143
931	8.876409	15.21833
