	log_likelihood
1682	30396.256
1683	30375.822
1684	30286.088
1685	30906.406
1686	30492.182
1687	30299.176
1688	30861.625
1689	30305.559
1690	30539.684
1691	30167.047
1692	30319.191
1693	30573.01
1694	30145.656
1695	30430.691
1696	30683.12
1697	30079.312
1698	30451.965
1699	30175.334
1700	30662.49
1701	30185.328
1702	30751.568
1703	30122.043
1704	29735.668
1705	30515.822
1706	30339.355
1707	30312.809
1708	30406.465
1709	30911.475
1710	30537.48
1711	31122.682
1712	30406.428
1713	30969.928
1714	30217.02
1715	30053.613
1716	30251.043
1717	29991.793
1718	30256.52
1719	30783.354
1720	30371.541
1721	30828.37
1722	30648.037
1723	30612.297
1724	30998.312
1725	30569.713
1726	30712.932
1727	30850.771
1728	30059.938
1729	30119.025
1730	30303.035
1731	29583.395
1732	29818.691
1733	30095.646
1734	30743.615
1735	30771.223
1736	29961.99
1737	30503.637
1738	30851.043
1739	30208.65
1740	30714.943
1741	30285.324
1742	30861.938
1743	30704.332
1744	30202.818
1745	30593.312
1746	30373.479
1747	30934.605
1748	30750.488
1749	30605.0
1750	30368.016
1751	30671.16
1752	29715.875
1753	30117.719
1754	30736.662
1755	29822.213
1756	30368.527
1757	30494.969
1758	30265.213
1759	29975.088
1760	30391.824
1761	30167.271
1762	30730.105
1763	30328.504
1764	30355.287
1765	30460.73
1766	30073.5
1767	30717.6
1768	30778.1
1769	30511.55
1770	30357.55
1771	30575.65
1772	30772.63
1773	30162.709
1774	29696.332
1775	29508.105
1776	30397.746
1777	30498.64
1778	30598.287
1779	29911.037
1780	30347.598
1781	30095.691
1782	30175.572
1783	30893.156
1784	30150.074
1785	30300.438
1786	30747.066
1787	30277.52
1788	30851.582
1789	30742.184
1790	30242.293
1791	30755.137
1792	29593.64
1793	30271.537
1794	30713.693
1795	30678.635
1796	30456.25
1797	29976.676
1798	30998.432
1799	31051.52
1800	30658.365
1801	30225.215
1802	31006.23
1803	30253.906
1804	30308.27
1805	30698.896
1806	30581.193
1807	29921.041
1808	30297.787
1809	30614.645
1810	29876.135
1811	30360.77
1812	30533.12
1813	30192.416
1814	30593.293
1815	30308.574
1816	30081.85
1817	30454.531
1818	30201.26
1819	30932.4
1820	30540.582
1821	30301.713
1822	30339.787
1823	29736.807
1824	30880.3
1825	30489.438
1826	30673.395
1827	30862.537
1828	29992.256
1829	30683.662
1830	30656.734
1831	30160.094
1832	30387.39
1833	30142.062
1834	30596.63
1835	30125.824
1836	30403.469
1837	30584.844
1838	30264.287
1839	30647.55
1840	30579.307
1841	30971.635
1842	30971.156
1843	30610.484
